n,delta = 0.05(list),delta = 0.05(matrix),delta = 0.1(list),delta = 0.1(matrix),delta = 0.2(list),delta = 0.2(matrix),delta = 0.3(list),delta = 0.3(matrix),delta = 0.5(list),delta = 0.5(matrix)
20,0.0000027000,0.0000066000,0.0000044000,0.0000082000,0.0000081000,0.0000107000,0.0000106000,0.0000141000,0.0000152000,0.0000188000
30,0.0000048000,0.0000137000,0.0000086000,0.0000171000,0.0000146000,0.0000235000,0.0000215000,0.0000300000,0.0000320000,0.0000406000
40,0.0000089000,0.0000233000,0.0000140000,0.0000301000,0.0000246000,0.0000399000,0.0000370000,0.0000477000,0.0000623000,0.0000730000
50,0.0000125000,0.0000356000,0.0000213000,0.0000452000,0.0000378000,0.0000621000,0.0000609000,0.0000796000,0.0000993000,0.0001194000
75,0.0000251000,0.0000785000,0.0000480000,0.0000997000,0.0000905000,0.0001424000,0.0001376000,0.0001860000,0.0002306000,0.0002765000
100,0.0000457000,0.0001384000,0.0000810000,0.0001792000,0.0001630000,0.0002575000,0.0002485000,0.0003341000,0.0004241000,0.0004991000
125,0.0000691000,0.0002175000,0.0001340000,0.0002888000,0.0002650000,0.0004046000,0.0003913000,0.0005323000,0.0006573000,0.0007673000
150,0.0000977000,0.0003138000,0.0001930000,0.0004045000,0.0003772000,0.0005790000,0.0005720000,0.0007752000,0.0013091000,0.0012794000
175,0.0001355000,0.0004232000,0.0002637000,0.0005568000,0.0005270000,0.0007960000,0.0009491000,0.0012254000,0.0015482000,0.0017202000
200,0.0001735000,0.0005530000,0.0003436000,0.0007134000,0.0007655000,0.0011091000,0.0014290000,0.0015586000,0.0020528000,0.0022943000
